Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 267 7627.43  2000.54 202.3993835 47.1569328    8.61    4.24 
 268 4811.65  2006.26 202.4568939 47.1570320    7.76    4.25 
 269 5960.02  2007.60 202.4334412 47.1570473    7.16    3.53 
 270 4609.42  2008.25 202.4610291 47.1570625    6.30    3.67 
 271 5719.89  2012.74 202.4383392 47.1571198    6.86    3.56 
 272 4845.07  2019.98 202.4562073 47.1572227    6.78    2.91 
 273 6131.19  2020.63 202.4299469 47.1572266    6.80    2.86 
 274 3272.28  2024.54 202.4883423 47.1572876    8.81    4.57 
 275 4074.13  2024.59 202.4719543 47.1572876    6.72    3.72 
 276 3618.21  2036.91 202.4812775 47.1574593    9.01    4.88 
 277 5174.28  2043.07 202.4494934 47.1575432    6.02    3.68 
 278 6124.01  2042.51 202.4300842 47.1575317    7.00    3.60 
 279 2686.36  2049.47 202.5003052 47.1576309    8.06    4.14 
 280 7143.06  2051.24 202.4092712 47.1576424    6.78    3.43 
 281 7182.44  2052.19 202.4084625 47.1576538    8.71    4.67 
 282 1982.92  2055.38 202.5146790 47.1577072    6.58    2.90 
 283 7426.09  2057.12 202.4034882 47.1577225    6.76    3.27 
 284 2492.88  2057.35 202.5042572 47.1577377    6.74    3.44 
 285 7023.90  2072.37 202.4117126 47.1579361    8.06    4.01 
 286 4510.70  2072.76 202.4630432 47.1579590    6.94    3.95 
 287 4575.14  2074.49 202.4617310 47.1579819    6.78    3.28 
 288 6068.57  2076.14 202.4312134 47.1579971    6.80    3.25 
 289 2281.84  2078.00 202.5085754 47.1580238    8.06    4.63 
 290 2479.88  2079.30 202.5045166 47.1580429    9.28    4.79 
 291 4453.39  2081.83 202.4642181 47.1580849    6.86    3.55 
 292 2179.90  2096.43 202.5106506 47.1582794    8.06    4.07 
 293 2506.66  2096.03 202.5039825 47.1582756    6.54    4.05 
 294 5992.40  2096.06 202.4327698 47.1582756    6.92    3.52 
 295 5293.79  2104.11 202.4470520 47.1583900    8.01    3.99 
 296 3457.12  2109.77 202.4845581 47.1584702    8.46    4.49 
 297 7516.53  2110.67 202.4016418 47.1584625    9.26    5.43 
 298 2394.32  2113.44 202.5062714 47.1585159    9.01    4.69 
 299 5491.90  2113.09 202.4429932 47.1585159    6.38    3.43 
 300 3978.40  2116.21 202.4739075 47.1585617    6.02    3.61 
 301 6118.71  2117.65 202.4301910 47.1585732    6.86    3.41 
 302 4077.56  2125.29 202.4718933 47.1586876    7.91    4.49 
 303 2090.56  2126.97 202.5124817 47.1587029    8.36    4.19 
 304 5347.94  2138.34 202.4459381 47.1588669    6.44    3.69 
 305 5057.64  2139.54 202.4518738 47.1588821    6.92    3.32 
 306 7787.61  2140.62 202.3961029 47.1588745    6.78    3.11 
 307 5253.90  2143.04 202.4478607 47.1589317    7.76    3.91 
 308 5161.89  2149.28 202.4497375 47.1590195    7.96    4.24 
 309 3061.74  2153.85 202.4926453 47.1590805    7.96    4.74 
