Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 310 4016.88  2160.89 202.4731293 47.1591835    8.01    4.04 
 311 2350.58  2166.49 202.5071716 47.1592560    6.82    3.69 
 312 5179.12  2175.46 202.4493866 47.1593819    8.46    4.36 
 313 5364.45  2175.24 202.4456024 47.1593781    8.06    4.64 
 314 5398.71  2176.49 202.4449005 47.1593971    6.78    3.13 
 315 5444.40  2175.64 202.4439697 47.1593857    9.11    4.58 
 316 7432.08  2182.12 202.4033661 47.1594582    8.46    4.17 
 317 5077.98  2195.61 202.4514465 47.1596642    8.06    4.34 
 318 5802.20  2197.28 202.4366608 47.1596832    8.06    4.06 
 319 5177.02  2197.93 202.4494324 47.1596947    8.06    4.22 
 320 3803.39  2199.25 202.4774933 47.1597137    8.91    4.49 
 321 5543.68  2199.83 202.4419403 47.1597176    7.91    4.19 
 322 5575.41  2204.98 202.4412994 47.1597900    8.06    3.82 
 323 2935.87  2209.20 202.4952087 47.1598511    8.31    4.14 
 324 5764.88  2210.92 202.4374237 47.1598740    8.06    3.95 
 325 2836.94  2213.82 202.4972382 47.1599159    6.58    2.95 
 326 7474.89  2215.48 202.4024963 47.1599197    6.78    3.80 
 327 5863.66  2220.00 202.4354095 47.1599960    7.86    4.33 
 328 6112.76  2219.98 202.4303131 47.1599960    6.94    3.14 
 329 7162.52  2220.44 202.4088745 47.1599922    8.36    4.31 
 330 6174.47  2221.55 202.4290619 47.1600151    9.48    5.45 
 331 4253.58  2222.75 202.4682922 47.1600418    8.06    3.83 
 332 5457.40  2228.47 202.4436951 47.1601181    7.91    4.77 
 333 3034.40  2231.60 202.4931946 47.1601639    6.86    3.44 
 334 2598.17  2239.13 202.5021057 47.1602631    8.06    3.92 
 335 7738.38  2239.19 202.3971100 47.1602478    6.76    3.09 
 336 6961.60  2240.99 202.4129791 47.1602783    6.78    2.89 
 337 7690.33  2242.67 202.3980865 47.1602936    6.80    2.91 
 338 1954.03  2242.11 202.5152740 47.1603012    6.38    3.63 
 339 5233.67  2245.14 202.4482727 47.1603508    6.70    3.34 
 340 5321.51  2247.68 202.4464722 47.1603851    7.86    4.03 
 341 5783.01  2246.68 202.4370575 47.1603699    7.86    4.28 
 342 4328.41  2252.52 202.4667664 47.1604538    7.91    4.29 
 343 5287.24  2253.40 202.4471741 47.1604652    6.78    3.46 
 344 6387.20  2253.81 202.4247131 47.1604652    8.06    4.11 
 345 2807.29  2256.46 202.4978333 47.1605072    8.06    4.08 
 346 6463.25  2258.44 202.4231567 47.1605263    6.54    3.20 
 347 5457.54  2261.75 202.4436951 47.1605797    8.36    4.39 
 348 7241.74  2261.99 202.4072571 47.1605682    6.78    3.17 
 349 5221.54  2264.56 202.4485168 47.1606216    6.74    3.30 
 350 6211.60  2267.50 202.4282990 47.1606560    6.78    3.25 
 351 6733.41  2268.27 202.4176331 47.1606598    8.06    4.19 
 352 5563.47  2271.05 202.4415283 47.1607094    8.36    4.13 
 353 5704.91  2273.82 202.4386444 47.1607475    8.06    3.97 
 354 2167.92  2280.93 202.5108948 47.1608429    6.80    3.24 
 355 5317.85  2284.47 202.4465485 47.1608963    6.86    4.39 
 356 2004.71  2286.50 202.5142365 47.1609192    6.84    3.65 
 357 2946.62  2288.00 202.4949951 47.1609459    7.86    3.80 
 358 7451.88  2288.90 202.4029541 47.1609383    6.78    2.91 
 359 5368.57  2291.35 202.4455109 47.1609917    6.94    3.88 
 360 5386.82  2291.36 202.4451447 47.1609917    6.46    3.80 
 361 5236.51  2292.85 202.4482117 47.1610146    6.52    3.28 
 362 4601.05  2295.69 202.4611969 47.1610527    6.90    3.10 
 363 5731.51  2296.43 202.4380951 47.1610603    7.91    4.16 
 364 3340.44  2296.60 202.4869537 47.1610641    6.88    3.25 
 365 5284.03  2296.85 202.4472504 47.1610680    6.78    2.99 
 366 3645.96  2300.38 202.4807129 47.1611176    8.06    4.12 
 367 3472.49  2302.98 202.4842529 47.1611557    7.81    3.93 
 368 5324.69  2306.15 202.4464111 47.1611977    6.80    2.85 
 369 5684.99  2312.02 202.4390564 47.1612778    7.72    3.84 
 370 1993.14  2316.83 202.5144653 47.1613388    6.00    4.11 
 371 7651.08  2321.65 202.3988953 47.1613922    8.06    4.08 
 372 2572.78  2322.37 202.5026245 47.1614189    6.86    3.47 
 373 3946.88  2325.88 202.4745636 47.1614723    7.96    4.69 
 374 5354.95  2332.55 202.4458008 47.1615639    6.96    3.90 
 375 2080.86  2326.67 202.5126801 47.1614761    8.06    4.34 
 376 3267.27  2326.77 202.4884338 47.1614838    7.91    4.11 
 377 4441.84  2327.01 202.4644470 47.1614876    8.71    4.27 
 378 6105.35  2327.45 202.4304657 47.1614876    6.82    3.46 
 379 2007.85  2333.67 202.5141754 47.1615753    6.94    3.70 
 380 1993.16  2340.26 202.5144653 47.1616669    6.00    4.02 
 381 3470.08  2340.68 202.4842987 47.1616783    8.06    3.83 
 382 5841.41  2344.36 202.4358521 47.1617241    6.78    2.83 
 383 5601.83  2347.50 202.4407501 47.1617699    8.06    3.90 
 384 7274.72  2347.36 202.4065704 47.1617546    6.78    2.95 
 385 2752.40  2348.55 202.4989624 47.1617851    8.46    4.49 
 386 6291.48  2351.58 202.4266663 47.1618233    8.76    4.33 
 387 2986.12  2352.48 202.4941864 47.1618423    7.20    3.55 
 388 4644.26  2352.61 202.4603119 47.1618462    6.02    3.89 
 389 5460.46  2352.26 202.4436340 47.1618385    7.22    4.10 
 390 3720.99  2352.65 202.4791718 47.1618462    8.01    4.02 
 391 4004.05  2352.68 202.4733887 47.1618462    8.06    3.88 
 392 2650.39  2354.96 202.5010376 47.1618729    6.90    3.25 
 393 4678.00  2354.74 202.4596252 47.1618729    6.86    3.86 
 394 3179.40  2357.79 202.4902344 47.1619148    6.78    3.26 
 395 3119.00  2358.77 202.4914703 47.1619301    7.14    3.34 
 396 3314.27  2358.68 202.4874878 47.1619263    7.46    4.12 
 397 5583.66  2360.12 202.4411163 47.1619453    6.86    3.37 
 398 5669.83  2360.70 202.4393616 47.1619530    6.78    3.34 
 399 6132.81  2361.23 202.4299011 47.1619568    6.88    3.91 
 400 5610.05  2368.39 202.4405823 47.1620598    6.78    3.35 
 401 6024.44  2368.23 202.4321136 47.1620560    6.94    3.43 
 402 2968.95  2368.89 202.4945374 47.1620674    6.78    3.63 
 403 4658.37  2371.69 202.4600220 47.1621094    6.56    3.38 
 404 5752.42  2372.65 202.4376678 47.1621170    6.78    3.79 
 405 2838.67  2379.56 202.4971924 47.1622162    6.78    3.12 
 406 3720.03  2385.91 202.4791870 47.1623077    7.81    3.98 
 407 3617.50  2386.39 202.4812927 47.1623154    7.91    4.37 
 408 3257.85  2389.67 202.4886322 47.1623573    6.78    3.06 
 409 2310.39  2391.13 202.5079956 47.1623726    6.54    3.20 
 410 2339.36  2392.87 202.5074005 47.1623993    6.54    3.42 
 411 4658.09  2395.19 202.4600372 47.1624374    6.84    3.80 
 412 2660.33  2396.66 202.5008392 47.1624527    8.36    4.32 
 413 3455.64  2407.02 202.4845886 47.1626015    8.06    4.05 
 414 3772.54  2408.47 202.4781189 47.1626205    8.51    4.56 
 415 7450.76  2409.88 202.4029846 47.1626205    6.78    3.67 
 416 1901.83  2410.02 202.5163422 47.1626320    6.78    2.98 
 417 5736.72  2413.54 202.4379883 47.1626854    8.06    4.51 
 418 2070.22  2414.16 202.5128937 47.1626930    7.91    4.38 
 419 2955.09  2417.47 202.4948120 47.1627426    6.84    3.05 
 420 5902.55  2417.53 202.4346008 47.1627426    8.06    3.92 
 421 7422.88  2417.81 202.4035492 47.1627312    6.80    3.03 
 422 3605.56  2418.91 202.4815369 47.1627655    8.56    4.59 
 423 3905.31  2419.58 202.4754028 47.1627769    8.06    3.86 
 424 3582.97  2420.89 202.4819946 47.1627922    7.86    4.19 
 425 3160.79  2429.36 202.4906158 47.1629105    8.06    4.40 
 426 3414.14  2430.06 202.4854431 47.1629181    7.91    4.49 
 427 7703.78  2430.06 202.3978119 47.1628990    8.06    4.82 
 428 7357.74  2438.35 202.4048767 47.1630173    6.00    4.44 
 429 4882.35  2440.61 202.4554443 47.1630669    6.84    3.18 
 430 5728.37  2441.15 202.4381714 47.1630707    6.72    3.03 
 431 4646.77  2443.19 202.4602661 47.1631012    6.54    3.71 
 432 5289.36  2443.29 202.4471283 47.1631012    7.49    4.01 
 433 2019.33  2447.55 202.5139313 47.1631546    7.86    4.48 
 434 1906.80  2460.67 202.5162354 47.1633377    7.68    4.19 
 435 2076.48  2460.64 202.5127716 47.1633377    8.36    4.17 
 436 1868.70  2462.56 202.5170135 47.1633644    7.14    3.41 
 437 2042.22  2468.18 202.5134735 47.1634407    7.81    4.51 
 438 4336.13  2471.09 202.4666138 47.1634903    8.41    4.61 
 439 4540.27  2470.96 202.4624329 47.1634903    8.46    4.27 
 440 2208.29  2471.72 202.5100708 47.1634941    6.44    4.42 
 441 4000.52  2473.43 202.4734650 47.1635246    7.86    3.83 
 442 5506.57  2473.88 202.4427032 47.1635246    9.01    4.64 
 443 3853.53  2479.01 202.4764709 47.1636009    6.78    2.99 
 444 4913.12  2478.88 202.4548187 47.1635971    6.56    3.03 
 445 2642.68  2479.53 202.5012054 47.1636047    6.80    3.51 
 446 4510.09  2479.61 202.4630585 47.1636086    7.81    3.81 
 447 5653.76  2480.39 202.4396820 47.1636162    6.78    3.10 
 448 5969.90  2485.52 202.4332275 47.1636848    6.72    3.30 
 449 5593.18  2486.54 202.4409332 47.1637001    6.58    3.38 
 450 4051.21  2490.31 202.4724274 47.1637573    8.06    4.16 
 451 5203.33  2495.78 202.4488983 47.1638298    8.06    3.85 
 452 5648.00  2495.60 202.4398041 47.1638260    6.80    3.95 
 453 2294.29  2497.58 202.5083160 47.1638527    9.11    5.06 
 454 2165.58  2499.92 202.5109558 47.1638832    6.94    3.98 
 455 3589.47  2499.42 202.4818573 47.1638832    7.96    3.98 
 456 4423.61  2501.47 202.4648132 47.1639137    7.63    3.89 
 457 1785.44  2502.68 202.5187073 47.1639214    6.78    3.58 
 458 4625.87  2504.61 202.4606934 47.1639557    7.76    4.41 
 459 4117.98  2507.26 202.4710693 47.1639938    8.06    3.91 
 460 4604.08  2507.77 202.4611359 47.1640015    8.36    4.29 
 461 4996.37  2507.74 202.4531250 47.1639977    8.06    3.80 
 462 2209.14  2510.83 202.5100555 47.1640358    6.46    4.31 
 463 4644.62  2512.38 202.4603119 47.1640625    9.16    4.68 
 464 5731.37  2512.16 202.4381104 47.1640549    6.78    3.58 
 465 7286.90  2513.13 202.4063263 47.1640549    6.78    3.35 
 466 1728.19  2513.50 202.5198822 47.1640701    6.78    3.27 
 467 7749.17  2514.15 202.3968811 47.1640663    8.66    4.61 
 468 3931.69  2516.47 202.4748688 47.1641197    8.36    4.05 
 469 2137.94  2520.95 202.5115204 47.1641769    6.78    2.81 
 470 6679.19  2525.60 202.4187469 47.1642342    8.36    4.19 
 471 1961.75  2526.97 202.5151062 47.1642570    6.94    3.93 
 472 6781.57  2527.29 202.4166565 47.1642570    6.78    3.23 
 473 6013.42  2533.01 202.4323425 47.1643448    6.54    2.96 
 474 4911.79  2533.69 202.4548492 47.1643600    8.06    4.13 
 475 3390.76  2536.30 202.4859161 47.1643944    7.96    4.78 
 476 3745.36  2536.73 202.4786682 47.1644020    8.01    3.83 
 477 1845.91  2537.50 202.5174866 47.1644020    8.06    4.37 
 478 1944.52  2539.96 202.5154572 47.1644402    6.00    3.67 
 479 4942.13  2543.74 202.4542236 47.1644974    6.78    3.31 
 480 5765.84  2543.80 202.4373932 47.1644974    8.36    4.18 
 481 4386.34  2555.31 202.4655762 47.1646614    8.61    4.28 
 482 5911.10  2562.17 202.4344330 47.1647491    6.84    3.01 
 483 2016.36  2562.98 202.5139923 47.1647606    6.56    2.74 
 484 4181.01  2570.36 202.4697723 47.1648712 -999.   -999.   
 485 2131.80  2570.51 202.5116425 47.1648636    6.92    3.92 
 486 5796.98  2574.01 202.4367676 47.1649132    6.72    3.46 
 487 7536.32  2577.91 202.4012299 47.1649513    8.71    4.39 
 488 5185.97  2577.98 202.4492493 47.1649742    6.78    3.49 
 489 1888.89  2578.47 202.5166016 47.1649742    7.72    3.87 
 490 4946.45  2579.05 202.4541321 47.1649895    7.74    3.73 
 491 5769.12  2588.47 202.4373322 47.1651154    6.54    2.92 
 492 2244.27  2590.41 202.5093384 47.1651421    8.31    4.38 
 493 5955.57  2593.52 202.4335175 47.1651840    8.11    4.53 
 494 5484.02  2594.25 202.4431610 47.1651993    6.78    3.45 
 495 5916.08  2595.41 202.4343262 47.1652107    9.01    5.03 
 496 5738.23  2596.75 202.4379578 47.1652298    6.74    3.21 
 497 7600.12  2598.57 202.3999329 47.1652374    8.71    4.57 
 498 1365.08  2600.37 202.5272980 47.1652718    8.81    4.25 
 499 4866.19  2604.39 202.4557800 47.1653404    6.84    3.50 
 500 2028.07  2604.56 202.5137634 47.1653366    6.94    3.30 
 501 4243.06  2605.89 202.4685059 47.1653633    6.82    3.21 
 502 5907.44  2609.11 202.4345093 47.1654015    7.86    4.40 
 503 4775.95  2609.92 202.4576263 47.1654167    6.72    3.45 
 504 5876.73  2611.91 202.4351349 47.1654396    6.50    3.02 
 505 2110.94  2614.03 202.5120697 47.1654701    7.74    4.09 
 506 3925.75  2615.30 202.4749908 47.1654930    8.06    3.85 
 507 2046.79  2618.27 202.5133820 47.1655273    6.86    4.31 
 508 2150.03  2618.39 202.5112610 47.1655312    6.86    3.60 
 509 7258.41  2623.70 202.4069061 47.1655922    6.94    3.83 
 510 2910.87  2623.45 202.4957275 47.1656036    8.06    4.18 
 511 3544.19  2625.53 202.4827881 47.1656342    7.81    3.94 
 512 3492.25  2628.31 202.4838409 47.1656723    8.11    4.09 
 513 5807.80  2628.88 202.4365387 47.1656761    6.54    3.79 
 514 2169.76  2632.01 202.5108643 47.1657181    6.40    3.40 
 515 5940.62  2633.46 202.4338226 47.1657410    6.70    3.49 
 516 3604.88  2635.32 202.4815521 47.1657715    8.86    4.47 
 517 5752.74  2635.55 202.4376678 47.1657715    6.50    3.51 
 518 4025.66  2637.40 202.4729462 47.1658020    8.06    3.92 
 519 5350.40  2643.71 202.4458923 47.1658859    6.72    2.97 
 520 4649.63  2648.17 202.4602051 47.1659508    8.06    4.24 
 521 2139.69  2649.09 202.5114746 47.1659546    6.02    4.91 
 522 5981.82  2649.92 202.4329834 47.1659698    8.61    4.29 
 523 5749.15  2651.10 202.4377441 47.1659851    6.02    3.83 
 524 5771.92  2651.06 202.4372711 47.1659851    6.74    3.36 
 525 7624.44  2653.10 202.3994293 47.1659966    8.66    4.21 
 526 5882.02  2655.77 202.4350281 47.1660500    6.56    2.97 
 527 6665.09  2655.64 202.4190216 47.1660423    8.06    4.09 
 528 4849.41  2661.71 202.4561157 47.1661377    6.82    2.98 
 529 4271.29  2662.08 202.4679260 47.1661415    8.46    4.50 
 530 5690.10  2666.22 202.4389496 47.1661949   10.24    5.80 
 531 5085.64  2669.88 202.4512939 47.1662483    6.80    3.10 
 532 5110.47  2668.97 202.4507904 47.1662369    8.31    4.02 
 533 1816.70  2669.33 202.5180817 47.1662331    7.96    4.59 
 534 5733.17  2669.98 202.4380646 47.1662483    6.74    4.63 
 535 4524.98  2673.54 202.4627533 47.1663017    6.72    3.44 
 536 5345.00  2673.09 202.4459991 47.1662941    6.02    3.77 
 537 5013.13  2678.28 202.4527740 47.1663666    7.86    4.03 
 538 3910.63  2678.95 202.4752960 47.1663780    6.42    3.42 
 539 7207.33  2680.01 202.4079437 47.1663742    8.36    3.94 
 540 4350.66  2680.69 202.4663086 47.1664009    6.80    2.95 
 541 6018.54  2681.15 202.4322357 47.1664009    8.91    4.64 
 542 2089.75  2682.36 202.5124969 47.1664162    6.88    3.94 
 543 5993.61  2684.86 202.4327393 47.1664543    6.86    3.58 
 544 1785.03  2686.61 202.5187225 47.1664734    8.06    3.81 
 545 5877.93  2687.26 202.4351044 47.1664886    6.74    3.90 
 546 4836.35  2688.36 202.4563904 47.1665077    7.56    3.76 
 547 2735.11  2688.62 202.4993134 47.1665077    8.01    4.58 
 548 5838.90  2688.71 202.4358978 47.1665077    6.88    3.26 
 549 4133.84  2689.91 202.4707336 47.1665306    7.91    4.50 
 550 4596.61  2693.12 202.4612885 47.1665726    6.80    4.01 
 551 5779.17  2695.06 202.4371185 47.1665955    6.74    5.03 
 552 5023.62  2695.79 202.4525604 47.1666107    7.91    3.94 
 553 5794.61  2695.89 202.4368134 47.1666069    6.74    3.72 
 554 8345.84  2697.47 202.3846893 47.1666031    9.01    4.75 
 555 5910.42  2705.14 202.4344482 47.1667366    6.52    4.22 
 556 1731.72  2707.75 202.5198212 47.1667671    8.06    3.87 
 557 4545.36  2707.99 202.4623260 47.1667824    6.92    3.49 
 558 1947.86  2708.89 202.5153961 47.1667862    8.31    4.18 
 559 5771.31  2709.11 202.4372864 47.1667900    6.56    4.21 
 560 5805.62  2710.75 202.4365845 47.1668129    8.91    5.24 
 561 5851.29  2713.36 202.4356537 47.1668510    6.68    4.12 
 562 6001.19  2712.36 202.4325867 47.1668358    9.01    4.65 
 563 5029.85  2713.93 202.4524384 47.1668625    6.84    3.67 
 564 6022.56  2713.77 202.4321594 47.1668549    6.68    3.49 
 565 4800.56  2715.57 202.4571228 47.1668854    6.74    2.95 
 566 7272.94  2717.15 202.4066010 47.1668892    8.66    4.92 
 567 5931.60  2718.20 202.4340057 47.1669159    6.82    3.52 
 568 5834.65  2718.61 202.4359894 47.1669235    6.70    4.25 
 569 5979.51  2724.84 202.4330292 47.1670074    6.00    3.81 
 570 4590.48  2727.45 202.4614105 47.1670494    7.76    4.03 
 571 2751.57  2728.24 202.4989777 47.1670570    6.78    3.34 
 572 5146.26  2732.64 202.4500580 47.1671219    6.82    3.73 
 573 5795.97  2733.49 202.4367828 47.1671295    9.01    5.29 
 574 7471.70  2734.93 202.4025421 47.1671333    6.72    3.20 
 575 3465.91  2736.20 202.4843903 47.1671715    8.01    3.86 
 576 2674.83  2737.55 202.5005493 47.1671867    6.78    3.59 
 577 5646.74  2736.78 202.4398346 47.1671753    8.76    4.55 
 578 6034.83  2736.94 202.4319000 47.1671753    6.00    3.75 
 579 5101.01  2742.81 202.4509735 47.1672630    7.96    3.89 
 580 5391.56  2745.27 202.4450378 47.1672974    9.01    4.86 
 581 5689.76  2749.14 202.4389496 47.1673470    6.56    4.40 
 582 7582.65  2754.55 202.4002838 47.1674042    8.26    4.12 
 583 3751.44  2759.15 202.4785461 47.1674919    6.94    3.44 
 584 4137.58  2759.44 202.4706573 47.1674957    6.78    3.01 
 585 6896.43  2763.09 202.4143066 47.1675339    8.76    4.55 
 586 3688.06  2767.90 202.4798431 47.1676140    8.06    4.03 
 587 4261.03  2775.36 202.4681396 47.1677170    6.78    3.04 
 588 5029.84  2777.00 202.4524384 47.1677399    7.02    3.57 
 589 5886.12  2777.80 202.4349365 47.1677437    8.61    4.46 
 590 1657.21  2778.27 202.5213318 47.1677475    6.78    2.96 
 591 4852.52  2777.95 202.4560547 47.1677513    6.78    3.34 
 592 5917.61  2778.87 202.4342957 47.1677589    6.78    2.93 
 593 5228.07  2781.24 202.4483795 47.1677971    6.84    3.39 
 594 1911.10  2783.41 202.5161438 47.1678200    7.91    4.00 
 595 5299.58  2786.03 202.4469299 47.1678619    8.41    4.49 
 596 4600.80  2787.72 202.4611969 47.1678886    6.86    2.98 
 597 4482.27  2791.03 202.4636230 47.1679344    6.72    2.80 
 598 4067.81  2791.32 202.4720917 47.1679382    8.06    4.16 
 599 2103.52  2796.42 202.5122223 47.1680031    8.06    3.89 
 600 5048.08  2797.89 202.4520569 47.1680298    7.65    3.59 
 601 4538.17  2801.29 202.4624786 47.1680756    6.78    3.49 
 602 5176.90  2801.78 202.4494324 47.1680832    7.70    3.80 
 603 2672.38  2804.08 202.5005951 47.1681099    6.84    3.64 
 604 4392.92  2804.00 202.4654388 47.1681137    8.06    3.92 
 605 5014.64  2804.84 202.4527435 47.1681252    7.72    3.93 
 606 1791.06  2809.86 202.5186005 47.1681862    8.31    3.92 
 607 2779.55  2809.51 202.4984131 47.1681862    7.74    4.11 
 608 6942.98  2814.48 202.4133453 47.1682472    8.06    4.88 
 609 2942.40  2814.54 202.4950867 47.1682587    6.82    3.35 
 610 5645.05  2818.15 202.4398651 47.1683083    6.68    3.75 
 611 5812.22  2818.85 202.4364471 47.1683159    8.06    4.13 
 612 1873.57  2819.35 202.5169220 47.1683197    6.90    3.46 
 613 3594.16  2819.73 202.4817657 47.1683311    9.16    5.63 
 614 1841.11  2823.63 202.5175781 47.1683769    8.01    4.25 
 615 4484.73  2824.65 202.4635773 47.1683998    6.80    3.46 
 616 5078.03  2825.53 202.4514465 47.1684113    6.78    3.30 
 617 2894.36  2826.26 202.4960632 47.1684227    8.06    4.37 
 618 5686.36  2829.57 202.4390259 47.1684647    6.96    3.87 
 619 2175.40  2829.85 202.5107574 47.1684685    8.06    4.30 
 620 4612.25  2830.45 202.4609680 47.1684799    8.06    3.86 
 621 1817.14  2831.76 202.5180664 47.1684914    6.78    3.40 
 622 3015.69  2832.53 202.4935760 47.1685066    6.76    3.40 
 623 4901.55  2832.55 202.4550476 47.1685104    6.80    3.86 
 624 7848.42  2833.94 202.3948517 47.1685066    7.70    4.00 
 625 1974.34  2836.42 202.5148621 47.1685562    6.78    3.65 
 626 5803.02  2838.57 202.4366302 47.1685905    8.06    3.88 
 627 5824.54  2839.57 202.4362030 47.1686020    6.72    3.42 
 628 6463.01  2838.53 202.4231567 47.1685829    6.78    3.04 
 629 5047.61  2840.29 202.4520721 47.1686172    7.00    3.32 
 630 5553.60  2841.73 202.4417267 47.1686363    8.06    4.02 
 631 4428.50  2843.12 202.4647217 47.1686592    6.78    3.17 
 632 6444.14  2844.58 202.4235382 47.1686668    8.06    4.46 
 633 1668.26  2845.51 202.5211182 47.1686783    8.06    4.26 
 634 2850.86  2846.66 202.4969482 47.1687050    6.78    2.88 
 635 5690.73  2848.41 202.4389343 47.1687279    7.81    5.04 
 636 2813.22  2849.55 202.4977264 47.1687431    7.14    3.37 
 637 4614.35  2849.07 202.4609222 47.1687393    7.28    4.89 
 638 7521.49  2854.23 202.4015198 47.1687927    6.78    3.31 
 639 6823.18  2859.55 202.4157867 47.1688728    6.78    3.39 
 640 6427.13  2862.01 202.4238892 47.1689110    6.54    3.45 
 641 4569.86  2865.51 202.4618378 47.1689682    6.84    2.95 
 642 1807.49  2867.63 202.5182648 47.1689873    6.96    4.19 
 643 2684.24  2866.54 202.5003510 47.1689796    7.91    3.94 
 644 1516.94  2871.00 202.5242004 47.1690331    6.52    3.08 
 645 2143.71  2870.90 202.5113983 47.1690369    6.00    3.85 
 646 4409.43  2875.17 202.4651031 47.1691017    6.80    3.27 
 647 5231.35  2874.95 202.4483185 47.1690979    6.84    4.13 
 648 2506.99  2876.54 202.5039825 47.1691170    7.96    4.31 
 649 1383.05  2880.67 202.5269470 47.1691666    8.06    3.90 
 650 6732.23  2882.66 202.4176483 47.1691933    8.06    3.99 
 651 5962.31  2883.81 202.4333801 47.1692162    6.78    3.36 
 652 5046.52  2886.94 202.4520874 47.1692657    7.76    4.77 
 653 5900.79  2887.88 202.4346313 47.1692734    8.06    3.89 
 654 5724.14  2893.87 202.4382477 47.1693573    8.01    3.94 
 655 5190.19  2898.86 202.4491577 47.1694298    7.74    3.97 
 656 4137.53  2899.48 202.4706573 47.1694412    8.06    4.13 
 657 1805.61  2900.58 202.5183105 47.1694450    6.72    2.71 
 658 2424.56  2901.18 202.5056610 47.1694603    6.70    3.66 
 659 2911.67  2907.30 202.4957123 47.1695480    6.82    2.98 
 660 4449.31  2907.27 202.4642944 47.1695480    6.78    3.75 
 661 1946.39  2907.37 202.5154266 47.1695404    8.06    4.06 
 662 2195.41  2912.49 202.5103455 47.1696129    8.01    4.87 
 663 4950.28  2913.74 202.4540558 47.1696358    8.36    4.52 
 664 1485.85  2917.19 202.5248413 47.1696739    8.81    4.25 
 665 1568.18  2924.08 202.5231628 47.1697693    6.78    2.80 
 666 3328.53  2926.39 202.4871979 47.1698151    6.78    3.09 
 667 5854.35  2933.23 202.4355927 47.1699028    8.06    3.89 
 668 4176.23  2932.16 202.4698792 47.1698952    7.81    4.29 
 669 1585.54  2935.46 202.5227966 47.1699295    6.78    2.90 
 670 5200.20  2936.84 202.4489594 47.1699562    8.01    4.02 
 671 4370.07  2938.44 202.4659119 47.1699829    6.84    3.08 
 672 1503.31  2939.48 202.5244904 47.1699829    6.74    3.15 
 673 5794.11  2940.34 202.4368134 47.1700020    8.06    4.12 
 674 1330.30  2948.44 202.5280151 47.1701050    6.78    2.74 
 675 4253.41  2948.05 202.4682922 47.1701164    6.84    3.38 
 676 4645.98  2952.83 202.4602814 47.1701813    7.56    4.44 
 677 1486.69  2953.93 202.5248260 47.1701851    8.06    4.74 
 678 4204.62  2958.61 202.4692993 47.1702614    7.91    4.17 
 679 1469.56  2960.90 202.5251770 47.1702805    8.06    4.23 
 680 1667.39  2960.48 202.5211334 47.1702766    8.06    3.95 
 681 4123.82  2964.93 202.4709473 47.1703491    6.64    3.27 
 682 5973.05  2965.30 202.4331665 47.1703491    6.56    3.44 
 683 5815.26  2972.93 202.4363861 47.1704559    8.86    4.64 
 684 4062.93  2974.11 202.4721832 47.1704788    8.06    3.78 
 685 5867.45  2974.37 202.4353180 47.1704750    8.01    4.34 
 686 4730.41  2976.55 202.4585571 47.1705093    8.06    4.09 
 687 6041.97  2980.24 202.4317474 47.1705551    6.78    3.41 
 688 4625.12  2986.50 202.4607086 47.1706505    6.78    3.47 
 689 5497.67  2990.42 202.4428711 47.1707001    8.31    4.55 
 690 4280.80  2990.80 202.4677429 47.1707077    6.78    2.96 
 691 5921.78  2992.47 202.4342041 47.1707268    6.78    3.07 
 692 7496.08  2992.50 202.4020386 47.1707115    8.61    4.39 
 693 7305.43  2998.61 202.4059448 47.1707993    6.78    3.12 
 694 4733.81  3000.93 202.4584808 47.1708488    6.80    2.86 
 695 1479.64  3008.58 202.5249634 47.1709442    8.81    4.68 
 696 1893.49  3009.03 202.5165100 47.1709518    6.88    4.84 
 697 5368.70  3009.41 202.4455109 47.1709633    6.58    3.33 
 698 3990.68  3009.94 202.4736633 47.1709747    6.64    3.40 
 699 4708.50  3010.46 202.4589996 47.1709824    6.78    2.87 
 700 1118.49  3012.91 202.5323486 47.1710014    6.78    3.62 
 701 1449.99  3013.64 202.5255737 47.1710129    8.01    4.13 
 702 7625.47  3013.91 202.3993988 47.1710091    8.76    4.19 
 703 1590.25  3021.60 202.5227051 47.1711235    6.78    2.90 
 704 4152.37  3024.40 202.4703674 47.1711769    6.82    3.66 
